n02122298,1414,"kitty, kitty-cat, puss, pussy, pussycat"
n02122510,779,alley cat
n02122810,3,gib
n02124313,1717,"Abyssinian, Abyssinian cat"
n02123785,445,blue point Siamese
n02124075,977,Egyptian cat
n02124157,1,"Maltese, Maltese cat"
n02122878,1262,"tabby, queen"
n02123478,1083,"Angora, Angora cat"
n02124484,1189,"Manx, Manx cat"
n02123394,1662,Persian cat
n02122725,1518,"tom, tomcat"
n02123917,1169,Burmese cat
n02123597,1739,"Siamese cat, Siamese"
n02123159,1424,tiger cat
n02122430,1207,mouser
n02121808,1831,"domestic cat, house cat, Felis domesticus, Felis catus"
n02123045,1525,"tabby, tabby cat"
n02123242,1442,"tortoiseshell, tortoiseshell-cat, calico cat"
