n01556182,1278.0,"spotted flycatcher, Muscicapa striata, Muscicapa grisola",B
n02039780,74.0,"crocodile bird, Pluvianus aegyptius",B
n01855032,1059.0,"red-breasted merganser, Mergus serrator",B
n01612955,225.0,"Audubon's caracara, Polyborus cheriway audubonii",B
n01599741,221.0,"migrant shrike, Lanius ludovicianus migrans",B
n01856155,1023.0,gander,-
n01816474,45.0,"pallas's sandgrouse, Syrrhaptes paradoxus",B
n01570839,1212.0,"common yellowthroat, Maryland yellowthroat, Geothlypis trichas",B
n02040266,1164.0,"stone curlew, thick-knee, Burhinus oedicnemus",B
n02049088,1187.0,"loon, diver",-
n01578180,1241.0,"hill myna, Indian grackle, grackle, Gracula religiosa",B
n01600341,21.0,"black-fronted bush shrike, Chlorophoneus nigrifrons",B
n01519563,1347.0,cassowary,-
n01800633,160.0,"Texas chachalaca, Ortilis vetula macalli",B
n01555004,1052.0,pitta,-
n01559160,304.0,"clay-colored robin, Turdus greyi",B
n01569971,1046.0,"yellow-breasted chat, Icteria virens",B
n01841441,1018.0,"red-breasted sapsucker, Sphyrapicus varius ruber",B
n02033779,1110.0,"European curlew, Numenius arquata",B
n01844551,1009.0,"quetzal, quetzal bird",B
n01818515,1530.0,macaw,B
n02056228,1844.0,"Adelie, Adelie penguin, Pygoscelis adeliae",B
n01852400,1314.0,"mandarin duck, Aix galericulata",B
n02019438,32.0,"plain turkey, Choriotis australis",B
n01859325,1281.0,"whooper, whooper swan, Cygnus cygnus",B
n01812866,715.0,"band-tailed pigeon, band-tail pigeon, bandtail, Columba fasciata",B
n01839330,1371.0,downy woodpecker,B
n01564914,1149.0,"greater whitethroat, whitethroat, Sylvia communis",B
n01811909,1273.0,pigeon,-
n02046171,677.0,"little auk, dovekie, Plautus alle",B
n01571410,55.0,"riflebird, Ptloris paradisea",B
n01559804,1206.0,"wood thrush, Hylocichla mustelina",B
n01791463,1125.0,"red jungle fowl, Gallus gallus",B
n01529672,1469.0,finch,-
n02050442,1027.0,"red-necked grebe, Podiceps grisegena",B
n01621635,1382.0,owlet,-
n02060133,1554.0,"fulmar, fulmar petrel, Fulmarus glacialis",B
n01837526,24.0,"oilbird, guacharo, Steatornis caripensis",B
n02030568,159.0,"Polynesian tattler, Heteroscelus incanus",B
n01544704,960.0,"honeycreeper, Hawaiian honeycreeper",B
n01793565,3.0,"Dominique, Dominick",-
n02055803,1281.0,penguin,-
n01838598,1394.0,"woodpecker, peckerwood, pecker",-
n02026629,615.0,"surfbird, Aphriza virgata",B
n02002075,1180.0,stork,-
