n01322898,1685,lion cub
n02130545,81,"saber-toothed tiger, sabertooth"
n02128598,226,leopardess
n02129923,1427,tigress
n02128669,525,panther
n02129837,1503,Bengal tiger
n02129165,1795,"lion, king of beasts, Panthera leo"
n01323068,1444,tiger cub
n02128757,1568,"snow leopard, ounce, Panthera uncia"
n02129604,2086,"tiger, Panthera tigris"
n02129530,38,lionet
n02128925,1514,"jaguar, panther, Panthera onca, Felis onca"
n02129991,524,liger
n02127808,1404,"big cat, cat"
n02128385,1400,"leopard, Panthera pardus"
n02130925,2,Smiledon californicus
n02130308,1427,"cheetah, chetah, Acinonyx jubatus"
n02129463,1260,lioness
n02130086,208,"tiglon, tigon"
