n03465320,44,guard's van
n03895866,986,"passenger car, coach, carriage"
n02885108,1307,boxcar
n03360731,209,"flatcar, flatbed, flat"
n03200357,843,"dining car, diner, dining compartment, buffet car"
n04236001,327,"sleeping car, sleeper, wagon-lit"
n04246855,1027,"smoker, smoking car, smoking carriage, smoking compartment"
n03056097,302,coal car
n03828020,1575,"nonsmoker, nonsmoking car"
n04322692,20,stockcar
n04389521,1379,"tank car, tank"
n03483971,495,handcar
n04020912,1193,"Pullman, Pullman car"
n03393912,1311,freight car
n02959942,1180,"car, railcar, railway car, railroad car"
n04409279,60,tender
n02932523,1214,"cabin car, caboose"
n03710294,1,mail car
n02986066,127,cattle car
n03053976,215,"club car, lounge car"
n04070964,263,refrigerator car
n02775039,918,"baggage car, luggage van"
