n04474035,1027,"transporter, car transporter",X
n03690473,658,"lorry, camion",X
n03632852,1327,"ladder truck, aerial ladder truck",X
n04465666,1358,tractor,X
n03648667,2,laundry truck,X
n04490091,1647,"truck, motortruck",X
n03930630,1443,"pickup, pickup truck",X
n03345487,1356,"fire engine, fire truck",X
n03884639,316,pantechnicon,
n04461696,1284,"tow truck, tow car, wrecker",X
n03896419,1169,passenger van,X
n03417042,1155,"garbage truck, dustcart",X
n03256166,1170,"dump truck, dumper, tipper truck, tipper lorry, tip truck, tipper",X
n02871314,1085,bookmobile,X
n03173929,1335,"delivery truck, delivery van, panel truck",X
n04520170,1738,van,X
n03796401,676,moving van,X
n03770679,1555,minivan,X
n03764822,693,milk float,
n03977966,1200,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",X
n04467665,1300,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",X
