n10117851,1664,gal,P,女孩
n10142391,1662,"grandfather, gramps, granddad, grandad, granddaddy, grandpa",P,爷爷，爷爷，爷爷，爷爷，爷爷，爷爷
n09988063,1643,"dad, dada, daddy, pa, papa, pappa, pop",P,爸爸，爸爸，爸爸，爸爸，爸爸，爸爸，流行
n10145590,1557,great grandmother,P,曾祖母
n10559288,1544,"schoolchild, school-age child, pupil",P,学龄儿童，学龄期儿童、小学生
n10525617,1535,"retiree, retired person",P,退休人员、退休人员
n10274815,1528,"lowerclassman, underclassman",P,低年级学生，低年级学生
n09918554,1526,"child, baby",P,孩子，亲爱的
n09718217,1510,"Japanese, Nipponese",P,日本，日本
n10376523,1508,"oldster, old person, senior citizen, golden ager",P,老年人，老年人，老年人，黄金时代
n10353016,1463,"neonate, newborn, newborn infant, newborn baby",P,新生儿，新生儿，新生婴儿，新生婴儿
n10267311,1434,little brother,P,小弟弟
n10143172,1429,grandparent,P,祖父母
n10638922,1424,"sport, sportsman, sportswoman",P,体育运动中，运动员，运动员
n10150071,1423,guard,P,警卫
n10145239,1414,"great-aunt, grandaunt",P,大姨妈，姑婆
n09624168,1407,"male, male person",P,男性，男性
n10787470,1405,"woman, adult female",P,女性，成年女性
n09636339,1404,"Black, Black person, blackamoor, Negro, Negroid",P,黑色，黑色的人，黑人，黑人，Negroid
n10247358,1404,"lass, lassie, young girl, jeune fille",P,少女，少女，少女，少女
n10804287,1403,"young buck, young man",P,年轻的巴克，年轻人
n10618342,1402,soccer player,P,足球运动员
n10377021,1399,old woman,P,老女人
n10141732,1397,granddaughter,P,孙女
n10247880,1381,Latin,P,拉丁语
n10145774,1380,great grandparent,P,曾外祖父母
n09619168,1371,"female, female person",P,女性，女性
n10142747,1354,"grandma, grandmother, granny, grannie, gran, nan, nanna",P,奶奶，奶奶，奶奶，奶奶，奶奶，南，奶奶
n09719309,1341,Kenyan,P,肯尼亚
n10602985,1340,"sister, sis",P,姐姐，姐姐
n10734394,1339,twin,P,成双的
n10595164,1338,"sibling, sib",P,同胞兄弟姐妹，
n10173410,1328,heroine,P,女主角
n09918248,1327,"child, kid",P,孩子，孩子
n10282482,1322,"maid, maiden",P,少女，少女
n09823502,1314,"aunt, auntie, aunty",P,阿姨，阿姨，阿姨
n10542761,1314,runner,P,跑步者
n09877951,1314,"buddy, brother, chum, crony, pal, sidekick",P,兄弟，兄弟，朋友，朋友，朋友，朋友
n10080869,1302,"father, male parent, begetter",P,父亲，父亲，父
n10375402,1299,old man,P,老人
n10289039,1293,man,P,男人
n10780632,1292,"wife, married woman",P,妻子，已婚妇女
n10624074,1291,"son, boy",P,儿子，男孩
n09833441,1285,bairn,P,小孩
n10129825,1282,"girl, miss, missy, young lady, young woman, fille",P,女孩，小姐，小姐，小姐，少妇，少女
n10084295,1280,"female child, girl, little girl",P,女童，女童，小女孩
n10610465,1276,"sleeper, slumberer",P,睡眠，睡眠
n09827363,1273,"baby, babe, sister",P,宝贝，宝贝，妹妹
n10465451,1273,"premature baby, preterm baby, premature infant, preterm infant, preemie, premie",P,早产儿，早产儿，早产儿，早产儿，早产儿，早产儿
n09705124,1268,Ethiopian,P,埃塞俄比亚
n09620794,1265,"native, indigen, indigene, aborigine, aboriginal",P,本地人，本地人，原住民，原住民，原住民
n09610405,1257,"commoner, common man, common person",P,平民，普通人，普通人
n00007846,1242,"person, individual, someone, somebody, mortal, soul",P,人，个人，某人，某人，凡人，灵魂
n10092643,1210,"firstborn, eldest",P,长子，长子
n10694258,1206,"teacher, instructor",P,老师，教练
n10104064,1151,boss,P,老板
n10602470,919,Sister,P,妹妹
n10332861,862,mother,P,母亲
n10763620,854,waitress,P,女服务员
n09641002,844,white man,P,白人
n10654932,405,stepparent,P,继父母
n10788852,402,woman,P,女人
n10639238,376,"sport, summercater",P,运动，summercater
n09843602,353,bather,P,游泳者
n10227266,352,junior,P,年少者
n09937056,328,"collegian, college man, college boy",P,大学生，大学生，大学生
n10020890,1365,"doctor, doc, physician, MD, Dr., medico",P,医生，医生，医生，MD，医学博士，
n10366966,1357,nurse,P,护士
n09951274,1290,computer user,P,计算机用户
n10599806,1327,"singer, vocalist, vocalizer, vocaliser",P,歌手，歌手，发声，vocaliser
n10513823,1367,"redhead, redheader, red-header, carrottop",P,红发，redheader，红头，红发的人
n09945745,1275,commuter,P,上下班往返的人
n10260800,1253,"lifeguard, lifesaver",P,救生员，救生员
n10464542,384,"preceptor, don",P,老师，不
n10701180,1452,tennis player,P,网球运动员
n10667477,1317,stylist,P,设计师
n09842047,1227,"basketball player, basketeer, cager",P,篮球运动员，basketeer，队员
n10698368,1222,"television reporter, television newscaster, TV reporter, TV newsman",P,电视台的记者，电视新闻播音员、电视台记者、电视记者
n09637339,1203,Black woman,P,黑女人
n10145480,1122,great granddaughter,P,孙女
n09793141,1560,ancient,,古代的
n10078806,1208,"farmer, husbandman, granger, sodbuster",,农夫，农夫，格兰杰，农夫
n10263411,1316,lineman,,前锋
n10582746,1418,"serviceman, military man, man, military personnel",,军人，军人，军人
n10249459,1346,"lawman, law officer, peace officer",,警察，检察官，治安官
n09722658,1208,Mexican,,墨西哥人
n10721321,1308,traffic cop,,交通警察
n09763784,1261,"acquaintance, friend",,熟人，朋友
n10542608,772,runner,,跑步者
n09839702,757,barmaid,,酒吧女招待
n10134760,379,godfather,,教父
n10151133,376,guest,,客人
n09750282,1407,Papuan,,小精灵
n10243137,1369,lady,,女士
n10718131,1340,"tourist, tourer, holidaymaker",,旅游，旅行，度假者
n10340312,1331,"musician, instrumentalist, player",,音乐家、演奏家、运动员
n10182190,1330,"homeless, homeless person",,无家可归、无家可归的人
n10082043,1327,father-in-law,,岳父
n10002760,1319,"demonstrator, protester",,示威者，示威者
n09903153,1315,"celebrity, famous person",,名人，名人
n10633450,1313,"spectator, witness, viewer, watcher, looker",,观众，观众，观众，观众见证，
n10192839,1311,hunk,,猛男
n10560106,1303,"schoolmate, classmate, schoolfellow, class fellow",,同学，同学，校友，同班同学
n10200781,1290,"important person, influential person, personage",,重要人物、显要人物、人物
n09854218,1268,big sister,,大姐姐
n10467179,1060,president,,总统
n10106509,336,"foster-mother, foster mother",,养母，养母
n09712696,1489,"Malay, Malayan",,马来语，Malayan
n10439373,1444,"platinum blond, platinum blonde",,白金碧眼，白金碧眼的金发女郎
n09621232,1406,native,,本地的
n10405694,1373,patient,,病人
n10236304,1326,"kin, kinsperson, family",,健，kinsperson，家庭
n09923673,1305,citizen,,公民
n09718936,1302,Korean,,韩国人
n10102800,1206,"forefather, father, sire",,祖，父，陛下
n09923003,365,cicerone,,导游
n10357613,1570,niece,,侄女
n09618957,1570,face,,面对
n10146104,1508,"great-niece, grandniece",,大侄女、侄孙女
n10260706,1508,life,,生活
n10146002,1466,"great-nephew, grandnephew",,大侄儿、侄
n09724785,1442,Nigerian,,尼日利亚
n10105733,1422,forward,,向前地
n10439851,1414,"player, participant",,玩家参与
n10324560,1400,"model, poser",,模型，难题
n09787534,1390,"ambassador, embassador",,大使、大使
n09695979,1384,"Byelorussian, Belorussian, White Russian",,白俄罗斯，白俄罗斯，白色的俄罗斯
n10054657,1379,employer,,雇主
n09840217,1367,"baron, big businessman, business leader, king, magnate, mogul, power, top executive, tycoon",,男爵，大商人，商界领袖，国王，大亨，大亨，权力，高管，大亨
n10406765,1363,"patriarch, paterfamilias",,族长、家长
n10523341,1363,reservist,,预备役
n10578471,1362,senator,,参议员
n10005934,1358,deputy,,副的
n10202624,1358,"incumbent, officeholder",,现任公务员
n09732170,1350,Sudanese,,苏丹
n10674713,1350,sumo wrestler,,相扑力士
n09747495,1340,Gambian,,冈比亚
n10195593,1330,"hypocrite, dissembler, dissimulator, phony, phoney, pretender",,伪君子，伪君子，伪善者，骗子，骗子，伪装
n10575463,1327,"seeded player, seed",,种子选手，种子
n10053808,1326,employee,,雇员
n09712448,1319,Haitian,,海地
n10333838,1318,"motorcycle cop, motorcycle policeman, speed cop",,摩托车警察，摩托车警察，速度警察
