n10117851,1664,gal,P
n10142391,1662,"grandfather, gramps, granddad, grandad, granddaddy, grandpa",P
n09988063,1643,"dad, dada, daddy, pa, papa, pappa, pop",P
n10145590,1557,great grandmother,P
n10559288,1544,"schoolchild, school-age child, pupil",P
n10525617,1535,"retiree, retired person",P
n10274815,1528,"lowerclassman, underclassman",P
n09918554,1526,"child, baby",P
n09718217,1510,"Japanese, Nipponese",P
n10376523,1508,"oldster, old person, senior citizen, golden ager",P
n10353016,1463,"neonate, newborn, newborn infant, newborn baby",P
n10267311,1434,little brother,P
n10143172,1429,grandparent,P
n10638922,1424,"sport, sportsman, sportswoman",P
n10150071,1423,guard,P
n10145239,1414,"great-aunt, grandaunt",P
n09624168,1407,"male, male person",P
n10787470,1405,"woman, adult female",P
n09636339,1404,"Black, Black person, blackamoor, Negro, Negroid",P
n10247358,1404,"lass, lassie, young girl, jeune fille",P
n10804287,1403,"young buck, young man",P
n10618342,1402,soccer player,P
n10377021,1399,old woman,P
n10141732,1397,granddaughter,P
n10247880,1381,Latin,P
n10145774,1380,great grandparent,P
n09619168,1371,"female, female person",P
n10142747,1354,"grandma, grandmother, granny, grannie, gran, nan, nanna",P
n09719309,1341,Kenyan,P
n10602985,1340,"sister, sis",P
n10734394,1339,twin,P
n10595164,1338,"sibling, sib",P
n10173410,1328,heroine,P
n09918248,1327,"child, kid",P
n10282482,1322,"maid, maiden",P
n09823502,1314,"aunt, auntie, aunty",P
n10542761,1314,runner,P
n09877951,1314,"buddy, brother, chum, crony, pal, sidekick",P
n10080869,1302,"father, male parent, begetter",P
n10375402,1299,old man,P
n10289039,1293,man,P
n10780632,1292,"wife, married woman",P
n10624074,1291,"son, boy",P
n09833441,1285,bairn,P
n10129825,1282,"girl, miss, missy, young lady, young woman, fille",P
n10084295,1280,"female child, girl, little girl",P
n10610465,1276,"sleeper, slumberer",P
n09827363,1273,"baby, babe, sister",P
n10465451,1273,"premature baby, preterm baby, premature infant, preterm infant, preemie, premie",P
n09705124,1268,Ethiopian,P
n09620794,1265,"native, indigen, indigene, aborigine, aboriginal",P
n09610405,1257,"commoner, common man, common person",P
n00007846,1242,"person, individual, someone, somebody, mortal, soul",P
n10092643,1210,"firstborn, eldest",P
n10694258,1206,"teacher, instructor",P
n10104064,1151,boss,P
n10602470,919,Sister,P
n10332861,862,mother,P
n10763620,854,waitress,P
n09641002,844,white man,P
n10654932,405,stepparent,P
n10788852,402,woman,P
n10639238,376,"sport, summercater",P
n09843602,353,bather,P
n10227266,352,junior,P
