n01671479,1163,"desert tortoise, Gopherus agassizii"
n01744270,739,"Indian python, Python molurus"
n01662060,150,"Diapsida, subclass Diapsida"
n01741442,262,"eastern indigo snake, Drymarchon corais couperi"
n01737728,1000,water moccasin
n01688243,669,"frilled lizard, Chlamydosaurus kingi"
n01661818,1,"diapsid, diapsid reptile"
n01729672,132,leaf-nosed snake
n01666228,1172,"common snapping turtle, snapper, Chelydra serpentina"
n01731277,152,"horseshoe whipsnake, Coluber hippocrepis"
n01664990,1195,"hawksbill turtle, hawksbill, hawkbill, tortoiseshell turtle, Eretmochelys imbricata"
n01733757,1296,"bull snake, bull-snake"
n01690149,1131,"blindworm, slowworm, Anguis fragilis"
n01755581,1207,"diamondback, diamondback rattlesnake, Crotalus adamanteus"
n01697457,1188,"African crocodile, Nile crocodile, Crocodylus niloticus"
n01750167,514,"death adder, Acanthophis antarcticus"
n01736375,296,"ground snake, Sonora semiannulata"
n01745125,599,"elapid, elapid snake"
n01730563,1252,green snake
n01689411,34,anguid lizard
n01709484,2,"apatosaur, apatosaurus, brontosaur, brontosaurus, thunder lizard, Apatosaurus excelsus"
n01741562,1279,constrictor
n01667432,741,"musk turtle, stinkpot"
n01747589,1262,"copperhead, Denisonia superba"
n01668892,1213,"cooter, river cooter, Pseudemys concinna"
n01742821,1008,"rosy boa, Lichanura trivirgata"
n01713764,1268,"tyrannosaur, tyrannosaurus, Tyrannosaurus rex"
n01747885,1030,cobra
n01714231,218,"allosaur, allosaurus"
n01682714,999,"American chameleon, anole, Anolis carolinensis"
n01728266,8,hoop snake
n01735728,279,"Western ribbon snake, Thamnophis proximus"
n01692333,1119,"Gila monster, Heloderma suspectum"
n01757677,958,"massasauga, massasauga rattler, Sistrurus catenatus"
n01748264,1014,"Indian cobra, Naja naja"
n01698782,704,"Chinese alligator, Alligator sinensis"
n01669372,1013,"Western box turtle, Terrapene ornata"
n01749939,884,green mamba
n01698434,1347,"alligator, gator"
n01674464,1202,lizard
n01758141,509,"fer-de-lance, Bothrops atrops"
n01731764,386,"coachwhip, coachwhip snake, Masticophis flagellum"
n01677366,1290,"common iguana, iguana, Iguana iguana"
n01753488,933,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
n01731941,524,"California whipsnake, striped racer, Masticophis lateralis"
n01708998,1,"sauropod, sauropod dinosaur"
n01719403,1,"synapsid, synapsid reptile"
n01725713,65,"plesiosaur, plesiosaurus"
n01732789,1144,"black rat snake, blacksnake, pilot blacksnake, mountain blacksnake, Elaphe obsoleta"
n01741943,1214,boa
n01736032,128,"lined snake, Tropidoclonion lineatum"
n01743605,1478,python
n01685439,14,"teiid lizard, teiid"
n01684578,641,"western skink, Eumeces skiltonianus"
n01738731,156,"banded sand snake, Chilomeniscus cinctus"
n01730812,1133,racer
n01728920,921,"ringneck snake, ring-necked snake, ring snake"
n01741232,666,"indigo snake, gopher snake, Drymarchon corais"
n01752585,1236,"adder, common viper, Vipera berus"
n01679626,1063,collared lizard
n01751748,1108,sea snake
n01710177,285,diplodocus
n01678343,1136,"chuckwalla, Sauromalus obesus"
n01686044,499,"racerunner, race runner, six-lined racerunner, Cnemidophorus sexlineatus"
n01735189,1296,"garter snake, grass snake"
n01690466,453,"glass lizard, glass snake, joint snake"
n01677747,1174,"marine iguana, Amblyrhynchus cristatus"
n01755952,328,"canebrake rattlesnake, canebrake rattler, Crotalus horridus atricaudatus"
n01744555,252,amethystine python
n01729322,1282,"hognose snake, puff adder, sand viper"
n01668665,1288,"slider, yellow-bellied terrapin, Pseudemys scripta"
n01669654,1192,"painted turtle, painted terrapin, painted tortoise, Chrysemys picta"
n01756089,1402,"prairie rattlesnake, prairie rattler, Western rattlesnake, Crotalus viridis"
n01733214,272,"Indian rat snake, Ptyas mucosus"
n01750437,527,"tiger snake, Notechis scutatus"
n01663401,1485,"sea turtle, marine turtle"
n01730185,824,"smooth green snake, Opheodrys vernalis"
n01664369,1477,ridley
n01682435,1064,basilisk
n01751215,333,"banded krait, banded adder, Bungarus fasciatus"
n01754876,1304,"rattlesnake, rattler"
n01688961,230,moloch
n01684133,1246,"skink, scincid, scincid lizard"
n01703161,73,"pachycephalosaur, pachycephalosaurus"
n01709876,113,"barosaur, barosaurus"
n01734637,798,"common kingsnake, Lampropeltis getulus"
n01755740,1135,"timber rattlesnake, banded rattlesnake, Crotalus horridus horridus"
n01684741,354,"mountain skink, Eumeces callicephalus"
n01739094,162,black-headed snake
n01737021,910,water snake
n01694955,667,"African monitor, Varanus niloticus"
n01735439,1303,"common garter snake, Thamnophis sirtalis"
n01691217,610,legless lizard
n01711160,5,argentinosaur
n01692523,640,"beaded lizard, Mexican beaded lizard, Heloderma horridum"
n01727646,1117,"colubrid snake, colubrid"
